"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          85,      -6.167718941,      -6.461696195,      -6.291784824,      -5.625889219,      -11.33252268
          0,           0,          86,      -6.165210406,      -6.462620961,      -6.296908604,      -5.624557226,      -11.33012879
          0,           0,          87,      -6.162885804,      -6.463666432,      -6.302107343,      -5.623470268,      -11.32793696
          0,           0,          88,      -6.160758712,      -6.464788324,      -6.307417112,      -5.622630017,      -11.32596176
          0,           0,          89,      -6.158838925,      -6.465936799,       -6.31288341,      -5.622029452,      -11.32422309
          0,           0,          90,      -6.157130251,      -6.467058736,       -6.31855354,      -5.621653695,      -11.32274979
          0,           0,          91,      -6.155632784,      -6.468106934,      -6.324468254,      -5.621481837,      -11.32155602
          0,           0,          92,       -6.15438306,       -6.46904112,      -6.330654169,      -5.621517774,      -11.32065521
          0,           0,          93,      -6.153494834,      -6.469839637,      -6.337116854,      -5.621819541,      -11.32000144
          0,           0,          94,      -6.152892805,      -6.470501377,       -6.34383274,      -5.622309686,      -11.31950563
          0,           0,          95,      -6.152495711,      -6.471044288,      -6.350751307,       -5.62290875,      -11.31910613
          0,           0,          96,      -6.152275579,      -6.471503415,      -6.357798451,      -5.623580388,      -11.31875242
          0,           0,          97,      -6.152232289,      -6.471924347,      -6.364868647,      -5.624313845,         -11.31839
          0,           0,          98,       -6.15235783,      -6.472359172,      -6.371831758,      -5.625097508,       -11.3179609
          0,           0,          99,      -6.152676233,      -6.472864334,       -6.37854085,      -5.625947167,      -11.31746175
          0,           0,         100,      -6.153190998,      -6.473494779,      -6.384846734,      -5.626867134,      -11.31687488
          0,           0,         101,      -6.153902728,      -6.474303624,      -6.390608326,      -5.627864612,      -11.31618543
          0,           0,         102,      -6.154826957,      -6.475338886,      -6.395707092,      -5.628959113,      -11.31534893
          0,           0,         103,      -6.155967074,      -6.476642436,      -6.400060585,      -5.630163822,      -11.31436072
          0,           0,         104,      -6.157315418,      -6.478249798,      -6.403630569,      -5.631485639,      -11.31323194
          0,           0,         105,      -6.158870522,       -6.48018642,      -6.406427485,      -5.632937607,      -11.31191487
          0,           0,         106,      -6.160630515,      -6.482468161,      -6.408510339,      -5.634531689,      -11.31040707
