"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         105,       -5.86009782,      -5.833111337,      -5.762110482,      -5.021525357,      -11.45395433
          0,           0,         106,      -5.885515485,      -5.859828274,      -5.738213466,      -5.051281527,      -11.44094526
          0,           0,         107,      -5.909625062,      -5.882058586,      -5.725569067,      -5.079950305,      -11.42868406
          0,           0,         108,      -5.929601236,      -5.897583942,      -5.724632788,       -5.10395281,      -11.41757438
          0,           0,         109,       -5.94378178,      -5.905742347,      -5.734762216,      -5.120943873,      -11.40854278
          0,           0,         110,      -5.952257798,      -5.907701021,       -5.75467906,      -5.130796684,      -11.40213435
          0,           0,         111,      -5.956596114,      -5.905791367,      -5.782575234,      -5.135401682,      -11.40013259
          0,           0,         112,      -5.958913156,      -5.902507714,      -5.816066063,      -5.137469627,      -11.39955643
          0,           0,         113,      -5.961060579,      -5.899812802,      -5.852137854,      -5.139391383,      -11.40125248
          0,           0,         114,      -5.964211203,      -5.898923917,      -5.887302258,      -5.142682506,      -11.40561532
          0,           0,         115,       -5.96882223,      -5.900399031,      -5.918155432,      -5.147951924,      -11.40973101
          0,           0,         116,      -5.974790832,       -5.90432508,      -5.942274544,      -5.155109816,      -11.41413283
          0,           0,         117,      -5.981665948,      -5.910488557,      -5.958955339,      -5.163630948,      -11.41927339
          0,           0,         118,      -5.988853633,      -5.918516076,      -5.969201171,      -5.172797502,      -11.42345705
          0,           0,         119,      -5.995782314,      -5.927981814,      -5.974979962,      -5.181899548,      -11.42725009
          0,           0,         120,       -6.00201605,      -5.938470721,      -5.978341249,      -5.190376053,      -11.43128814
          0,           0,         121,      -6.007308012,      -5.949613457,        -5.9808942,      -5.197886937,      -11.43473386
          0,           0,         122,      -6.011594019,        -5.9610891,      -5.983698887,      -5.204311301,      -11.43748641
          0,           0,         123,      -6.014934885,      -5.972617358,      -5.987389493,       -5.20968482,      -11.43991157
          0,           0,         124,      -6.017457264,      -5.983938315,      -5.992353588,       -5.21412387,      -11.44175578
          0,           0,         125,      -6.019306368,      -5.994796163,      -5.998876896,      -5.217763766,      -11.44282765
          0,           0,         126,      -6.020625678,      -6.004931515,      -6.007223514,      -5.220729258,       -11.4432453
          0,           0,         127,      -6.021541817,      -6.014083294,      -6.017659018,      -5.223125575,      -11.44332151
          0,           0,         128,      -6.022176972,      -6.022019709,      -6.030426546,      -5.225057363,      -11.44309987
          0,           0,         129,      -6.022674467,      -6.028582805,      -6.045694764,      -5.226664356,      -11.44229705
          0,           0,         130,      -6.023214261,      -6.033721392,      -6.063479954,      -5.228142871,      -11.44064174
          0,           0,         131,      -6.024023653,      -6.037498772,      -6.083550902,      -5.229757069,      -11.43810617
          0,           0,         132,      -6.025346204,       -6.04009113,      -6.105325274,      -5.231810984,      -11.43477866
          0,           0,         133,      -6.027409127,      -6.041780615,      -6.127780426,      -5.234616908,      -11.43070454
          0,           0,         134,       -6.03041675,      -6.042913983,      -6.149417293,      -5.238473507,      -11.42579721
          0,           0,         135,      -6.034542836,      -6.043843092,      -6.168389418,      -5.243641768,      -11.41991101
          0,           0,         136,      -6.039960442,      -6.044857001,      -6.182858174,      -5.250344213,      -11.41292347
          0,           0,         137,      -6.046737822,       -6.04612994,      -6.191534817,      -5.258677854,      -11.40471659
          0,           0,         138,      -6.054825541,      -6.047719805,      -6.194190269,      -5.268593347,      -11.39517126
          0,           0,         139,        -6.0640113,      -6.049594468,      -6.191781401,      -5.279858014,      -11.38441981
          0,           0,         140,      -6.073978348,      -6.051650055,      -6.186103061,      -5.292090697,      -11.37240903
          0,           0,         141,      -6.084341389,      -6.053729364,      -6.179219056,       -5.30478979,      -11.35902233
          0,           0,         142,      -6.094743534,      -6.055655972,      -6.172980243,      -5.317416517,      -11.34438433
          0,           0,         143,      -6.104860501,      -6.057276583,      -6.168776835,       -5.32942417,      -11.32853834
          0,           0,         144,      -6.114327934,       -6.05851453,      -6.167498207,      -5.340258151,      -11.31162451
          0,           0,         145,      -6.122768497,       -6.05941826,      -6.169595354,      -5.349430436,      -11.29377626
          0,           0,         146,      -6.129893581,      -6.060159402,      -6.175166216,      -5.356637069,      -11.27514681
          0,           0,         147,      -6.135575309,      -6.060991086,      -6.184038131,      -5.361825781,      -11.25583427
          0,           0,         148,      -6.139916678,      -6.062181171,      -6.195823217,      -5.365219445,      -11.23591474
          0,           0,         149,      -6.143082466,      -6.063978368,      -6.209983979,      -5.367157277,      -11.21570524
          0,           0,         150,      -6.145403899,       -6.06658739,      -6.225883778,      -5.368112472,      -11.19534242
          0,           0,         151,       -6.14722067,      -6.070159259,      -6.242847481,      -5.368534194,      -11.17486573
          0,           0,         152,      -6.148690408,      -6.074790298,      -6.260228016,      -5.368702658,      -11.15436677
          0,           0,         153,      -6.149899301,      -6.080524771,      -6.277470191,      -5.368799631,      -11.13395187
          0,           0,         154,      -6.150928362,      -6.087358466,      -6.294165915,      -5.368955768,      -11.11381528
          0,           0,         155,      -6.151809692,      -6.095235427,       -6.31007794,      -5.369228338,      -11.09397914
          0,           0,         156,      -6.152652086,       -6.10405065,      -6.325129218,      -5.369692364,      -11.07446899
          0,           0,         157,      -6.153490666,      -6.113666232,      -6.339366378,      -5.370350765,      -11.05538075
          0,           0,         158,      -6.154359715,      -6.123923664,      -6.352905778,      -5.371196415,      -11.03678451
          0,           0,         159,      -6.155290135,      -6.134645303,      -6.365871936,      -5.372213314,      -11.01861012
          0,           0,         160,      -6.156295143,       -6.14564932,      -6.378358688,      -5.373376035,      -11.00077273
          0,           0,         161,      -6.157360713,       -6.15675082,       -6.39038625,      -5.374647075,      -10.98328408
          0,           0,         162,      -6.158477386,      -6.167756802,      -6.401879919,      -5.375996333,      -10.96612184
          0,           0,         163,      -6.159635548,      -6.178482006,      -6.412675595,      -5.377401629,      -10.94938065
          0,           0,         164,      -6.160813769,      -6.188741302,      -6.422509928,      -5.378837366,      -10.93295725
          0,           0,         165,      -6.161990526,      -6.198364147,      -6.431037359,      -5.380284246,      -10.91676788
          0,           0,         166,      -6.163145886,      -6.207188742,      -6.437841579,      -5.381728232,      -10.90094069
          0,           0,         167,      -6.164260082,      -6.215077968,      -6.442479623,      -5.383160003,      -10.88541971
          0,           0,         168,      -6.165316281,       -6.22191858,       -6.44451969,      -5.384574762,      -10.87028548
          0,           0,         169,      -6.166296303,      -6.227623455,      -6.443599424,        -5.3859679,      -10.85554921
          0,           0,         170,      -6.167185038,      -6.232128607,      -6.439483662,      -5.387337078,      -10.84122852
          0,           0,         171,      -6.167964233,      -6.235399913,      -6.432113171,      -5.388675375,      -10.82722588
          0,           0,         172,      -6.168617263,       -6.23741949,      -6.421613039,      -5.389973183,       -10.8135929
          0,           0,         173,      -6.169127077,      -6.238186652,      -6.408283734,      -5.391215401,       -10.8003873
          0,           0,         174,      -6.169482142,      -6.237706947,      -6.392553773,      -5.392385273,       -10.7876305
          0,           0,         175,      -6.169672129,       -6.23599047,      -6.374923292,      -5.393461869,      -10.77531651
          0,           0,         176,      -6.169696768,       -6.23304911,      -6.355904222,      -5.394427881,      -10.76335044
          0,           0,         177,      -6.169535081,      -6.228899689,      -6.335978043,      -5.395248737,      -10.75170297
          0,           0,         178,      -6.169180962,       -6.22356698,      -6.315563777,      -5.395897561,      -10.74046743
          0,           0,         179,      -6.168629048,      -6.217088651,      -6.295007725,       -5.39634948,       -10.7297373
          0,           0,         180,      -6.167889052,      -6.209520882,      -6.274581801,      -5.396596461,      -10.71941295
          0,           0,         181,      -6.166905435,       -6.20094165,      -6.254494012,      -5.396583554,      -10.70935803
          0,           0,         182,      -6.165741579,      -6.191453216,      -6.234892551,      -5.396344416,      -10.69962402
          0,           0,         183,      -6.164324279,      -6.181177635,      -6.215884509,      -5.395826422,       -10.6903618
