"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         185,      -5.691863391,      -3.272420532,       -4.26903485,      -1.245354625
          0,           0,         186,      -5.698292752,        -3.2810081,      -4.277937281,      -1.260617063
          0,           0,         187,      -5.703887261,      -3.288280301,      -4.286902461,      -1.273433285
          0,           0,         188,      -5.709494218,      -3.295522918,      -4.296294754,      -1.285938612
          0,           0,         189,      -5.715100364,       -3.30271257,      -4.306212631,      -1.298261815
          0,           0,         190,      -5.720381069,      -3.309366809,      -4.316278645,      -1.309228624
          0,           0,         191,      -5.726697291,      -3.317475258,      -4.328200463,      -1.323770347
          0,           0,         192,      -5.732172364,       -3.32428625,      -4.339724743,      -1.334945593
          0,           0,         193,       -5.73766514,      -3.331061443,      -4.351310496,      -1.345207776
          0,           0,         194,      -5.743159743,      -3.337785029,      -4.363038993,      -1.354847798
          0,           0,         195,      -5.748659283,      -3.344465157,      -4.374919739,      -1.363999954
          0,           0,         196,      -5.754145954,      -3.351076894,      -4.386748105,       -1.37261869
          0,           0,         197,      -5.759612636,      -3.357626348,      -4.398391949,      -1.380574313
          0,           0,         198,       -5.76396557,      -3.362691026,      -4.411254181,      -1.396650838
          0,           0,         199,      -5.769505578,      -3.369334749,      -4.421792876,      -1.401587541
          0,           0,         200,      -5.773919454,      -3.374439309,      -4.433670663,      -1.415116614
          0,           0,         201,      -5.779502741,      -3.381090937,      -4.443323493,      -1.417704496
          0,           0,         202,      -5.783940556,      -3.386173606,      -4.454402043,      -1.429181259
          0,           0,         203,       -5.78953761,      -3.392793483,      -4.463030862,      -1.430082491
          0,           0,         204,      -5.793980618,      -3.397831581,      -4.473205227,      -1.440545932
          0,           0,         205,      -5.799576268,       -3.40440791,      -4.480670965,      -1.440547149
          0,           0,         206,      -5.804014783,      -3.409397405,      -4.489905122,      -1.450726871
          0,           0,         207,      -5.809599672,        -3.4159296,       -4.49623243,      -1.450313627
          0,           0,         208,      -5.814026966,      -3.420872683,      -4.504615486,      -1.460634848
          0,           0,         209,      -5.819595081,      -3.427363121,      -4.509958455,      -1.460114196
          0,           0,         210,      -5.824007207,      -3.432262836,       -4.51765562,      -1.470818843
          0,           0,         211,      -5.829567986,       -3.43872934,       -4.52228061,      -1.470369006
          0,           0,         212,      -5.833967011,      -3.443589547,      -4.529498658,       -1.48158125
          0,           0,         213,      -5.839491996,      -3.449998272,      -4.533498458,      -1.481321187
          0,           0,         214,      -5.843865923,      -3.454810798,       -4.54033368,      -1.493000976
          0,           0,         215,      -5.849371259,       -3.46117854,      -4.544019347,      -1.492999497
          0,           0,         216,      -5.853739104,      -3.465960398,      -4.550762073,      -1.505163264
          0,           0,         217,      -5.859228365,      -3.472289617,      -4.554285949,      -1.505473349
          0,           0,         218,      -5.863569692,      -3.477015962,      -4.560862942,      -1.518029813
          0,           0,         219,      -5.869039738,      -3.483298107,      -4.564335776,      -1.518671211
          0,           0,         220,      -5.873376639,       -3.48799098,      -4.570998012,      -1.531551181
          0,           0,         221,      -5.878833074,      -3.494229677,      -4.574539621,      -1.532562663
          0,           0,         222,      -5.883140976,      -3.498858058,      -4.581148015,       -1.54567035
          0,           0,         223,      -5.888578289,      -3.505043106,       -4.58477795,      -1.547036667
          0,           0,         224,      -5.892535661,      -3.509191707,      -4.590944202,      -1.558918137
          0,           0,         225,      -5.898691879,      -3.516273471,       -4.59576491,      -1.563477994
          0,           0,         226,      -5.902859608,      -3.520649484,      -4.602613573,      -1.576376751
          0,           0,         227,      -5.908193434,      -3.526624599,      -4.606474324,      -1.577825694
          0,           0,         228,      -5.912056513,      -3.530587784,      -4.612617859,      -1.589137175
          0,           0,         229,      -5.918150688,       -3.53749214,      -4.617727403,      -1.594020223
          0,           0,         230,      -5.922248017,      -3.541709942,       -4.62459912,      -1.606537684
          0,           0,         231,      -5.927523292,      -3.547539994,      -4.628758252,      -1.608520122
          0,           0,         232,      -5.931324549,      -3.551364801,      -4.634958767,      -1.619349108
          0,           0,         233,      -5.937421869,      -3.558166199,      -4.640581749,      -1.624597748
          0,           0,         234,      -5.941460222,      -3.562248449,      -4.647415605,      -1.636361374
          0,           0,         235,      -5.946681142,      -3.567940194,       -4.65188901,      -1.638489464
          0,           0,         236,       -5.95076228,      -3.572028796,      -4.658644279,      -1.649762521
          0,           0,         237,      -5.956062609,      -3.577773237,       -4.66343189,      -1.651905784
          0,           0,         238,      -5.959804585,      -3.581437681,      -4.669698148,      -1.661589306
          0,           0,         239,      -5.965796624,      -3.587984345,      -4.675578453,      -1.666641779
          0,           0,         240,      -5.969765234,      -3.591859771,      -4.682372064,        -1.6768963
          0,           0,         241,      -5.974980475,      -3.597422553,      -4.687325635,      -1.677923431
          0,           0,         242,      -5.978640094,      -3.600910754,      -4.693372846,      -1.685927538
          0,           0,         243,      -5.984565943,      -3.607292147,      -4.699259464,      -1.689662525
          0,           0,         244,      -5.988464081,      -3.611008384,      -4.705757126,      -1.698608341
          0,           0,         245,      -5.993250148,      -3.616011105,       -4.70990636,      -1.696942551
          0,           0,         246,      -5.997965945,      -3.620655479,      -4.717393876,      -1.708292684
          0,           0,         247,      -6.002954277,      -3.625873771,      -4.721776477,      -1.707419418
          0,           0,         248,      -6.006468811,      -3.629086342,      -4.727089607,      -1.714036943
          0,           0,         249,      -6.012342335,      -3.635301405,       -4.73265611,      -1.715358742
          0,           0,         250,      -6.016133607,      -3.638806538,      -4.738286377,      -1.723347452
          0,           0,         251,       -6.02110051,       -3.64395966,      -4.741966792,      -1.721146149
          0,           0,         252,      -6.024575305,      -3.647083889,      -4.746585198,      -1.727828864
