"Density","Eddy_Viscosity","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Omega","P_tot","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Residual_Omega","Residual_TKE","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Turb_Kin_Energy","Velocity:0","Velocity:1","Velocity:2","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1.335733941e-07,1.197546124,0,2.671767341e-08,1.600000024,1,1.332804093e-11,0,11.21405983,1.185941582,0.2790178657,3.308989749e-09,3.238877387e-19,4.690556615e-19,6.906522811e-19,7.936387618e-20,0,5.18220382e-18,4.08353108e-25,0,0,0,1,1.49790003e-06,1,1.332804093e-11,0,0,,0.08983255923,-4.199999809,0.08983255923,0
1,1.335736073e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-8.048463805e-12,0,11.21426868,1.185941582,0.2790178657,3.281194649e-09,-5.107664184e-20,-2.119125189e-19,-1.11660064e-19,-8.997187785e-21,0,1.857307341e-17,1.751782194e-24,0,0,0,1,1.49793027e-06,1,-8.048463805e-12,0,0,,0.09226046503,-4.199999809,0.09226046503,0
1,1.335734794e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-3.065733084e-11,0,11.21413708,1.185941582,0.2790178657,3.333979093e-09,-1.335039782e-19,-6.951764421e-19,-9.245681016e-19,-1.485616542e-20,0,8.544254604e-18,7.639159401e-25,0,0,0,1,1.497911285e-06,1,-3.065733084e-11,0,0,,0.09468837082,-4.199999809,0.09468837082,0
1,1.335730389e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-2.814213099e-11,0,11.2137146,1.185941582,0.2790178657,3.449251329e-09,3.856572959e-19,-3.893518981e-19,-7.250075735e-19,6.025745806e-20,0,-2.468206694e-17,-2.206748649e-24,0,0,0,1,1.497850008e-06,1,-2.814213099e-11,0,0,,0.09711627662,-4.199999809,0.09711627662,0
1,1.335728683e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-8.086040111e-14,0,11.21353626,1.185941582,0.2790178657,3.48849305e-09,6.552402655e-20,-1.339836344e-18,-4.932532276e-19,5.637887926e-20,0,-4.193537699e-18,-3.749314874e-25,0,0,0,1,1.497824087e-06,1,-8.086040111e-14,0,0,,0.09954418987,-4.199999809,0.09954418987,0
1,1.335723852e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-1.225595146e-11,0,11.21307564,1.185941582,0.2790178657,3.564410767e-09,-2.442968596e-19,-1.873547337e-18,-1.093369505e-18,3.492253472e-20,0,0,0,0,0,0,1,1.497757125e-06,1,-1.225595146e-11,0,0,,0.1019720957,-4.199999809,0.1019720957,0
1,1.335718167e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-2.453311339e-11,0,11.212533,1.185941582,0.2790178657,3.659086367e-09,-3.206676797e-19,-1.156651407e-18,-1.099106209e-18,-1.773845364e-20,0,1.808210822e-18,2.155555274e-25,0,0,0,1,1.49767834e-06,1,-2.453311339e-11,0,0,,0.1044000015,-4.199999809,0.1044000015,0
1,1.335712483e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-2.03247176e-11,0,11.2119751,1.185941582,0.2790178657,3.768746204e-09,-2.594019499e-20,1.398641647e-18,1.950882469e-19,-1.13299872e-19,0,6.523850655e-18,7.777036017e-25,0,0,0,1,1.497597509e-06,1,-2.032471587e-11,0,0,,0.1068279073,-4.199999809,0.1068279073,0
1,1.335708504e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-3.005345972e-11,0,11.21159267,1.185941582,0.2790178657,3.861249542e-09,-2.579027399e-19,1.663949282e-18,5.471632765e-19,-1.127798985e-19,0,1.106533816e-17,1.811001588e-24,0,0,0,1,1.497541916e-06,1,-3.005345972e-11,0,0,,0.1092558131,-4.199999809,0.1092558131,0
1,1.335704667e-07,1.197546124,0,2.671767341e-08,1.600000024,1,-3.326907846e-11,0,11.21123123,1.185941582,0.2790178657,3.952753236e-09,-3.310002512e-19,1.662886045e-18,9.562638274e-20,-8.037509156e-20,0,-9.082224957e-19,5.230642812e-25,0,0,0,1,1.497489507e-06,1,-3.326907846e-11,0,0,,0.1116837189,-4.199999809,0.1116837189,0
