"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          97,         -5.552991,      -5.755721355,      -5.974747149,      -5.413260706,      -11.68598539
          0,           0,          98,      -5.560927676,      -5.755171127,      -5.988782817,      -5.423518709,      -11.67796535
          0,           0,          99,      -5.549024391,      -5.717611859,      -5.988789059,      -5.397139239,      -11.66803193
          0,           0,         100,      -5.528924766,      -5.642344082,      -5.953328904,      -5.342906407,      -11.65428011
          0,           0,         101,      -5.450676976,       -5.51361579,      -5.853635081,      -5.236864817,      -11.64091971
          0,           0,         102,      -5.332593482,      -5.367348737,      -5.715171628,      -5.118338644,      -11.62045103
          0,           0,         103,      -5.150744473,      -5.160429082,      -5.522171559,      -4.982611052,      -11.63780004
          0,           0,         104,      -5.164147835,      -5.208600279,      -5.589117362,      -5.022398682,      -11.64415615
          0,           0,         105,      -5.237502638,      -5.216083864,      -5.754290298,       -5.09257481,      -11.62730088
          0,           0,         106,      -5.440052005,      -5.547135055,      -5.884796895,      -5.305451449,      -11.63305426
          0,           0,         107,      -5.577733196,      -5.772083462,      -6.055668714,      -5.430062325,      -11.63212275
          0,           0,         108,      -5.631570824,      -5.938001229,       -6.14168406,      -5.538218437,      -11.62707517
          0,           0,         109,      -5.764706457,      -5.981179337,      -6.173859392,      -5.714929825,      -11.61986411
          0,           0,         110,      -5.758174091,      -6.007126369,      -6.180187484,        -5.7085393,      -11.61362409
          0,           0,         111,      -5.742199181,      -6.029873435,      -6.180617389,      -5.701261941,      -11.60781336
          0,           0,         112,      -5.773828271,      -6.014456391,      -6.179741861,      -5.742114699,       -11.6019498
          0,           0,         113,      -5.797325059,      -6.038090172,      -6.184919872,       -5.76465076,      -11.59502508
          0,           0,         114,      -5.798394136,      -6.078939179,      -6.190189548,      -5.768025421,      -11.58868142
          0,           0,         115,      -5.822167912,      -6.096516115,      -6.200842248,      -5.793759242,      -11.58347941
          0,           0,         116,      -5.851998504,      -6.107631867,      -6.216216003,      -5.825726822,      -11.57733681
          0,           0,         117,      -5.879878124,      -6.122828149,      -6.229077053,      -5.845654103,      -11.57151812
          0,           0,         118,      -5.903135297,      -6.150029595,      -6.242025443,      -5.867501908,      -11.56594026
          0,           0,         119,      -5.937593463,      -6.168757449,      -6.256409735,      -5.899926828,       -11.5590507
          0,           0,         120,      -5.973001832,      -6.182069011,      -6.269903728,      -5.931770621,      -11.55328203
          0,           0,         121,      -6.001245028,      -6.192046035,      -6.280460804,      -5.956741975,      -11.54747935
          0,           0,         122,      -6.021083164,      -6.199310057,      -6.288942799,      -5.974803827,      -11.54093465
          0,           0,         123,      -6.039554037,      -6.201592085,      -6.296472915,      -5.990802134,      -11.53453864
