"Mach","Pressure","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.0967,0.5636,0.13513,1.399,0.03588,0
1.0966,0.5637,0.13533,1.399,0.036098,0
1.0964,0.5638,0.13553,1.399,0.036316,0
1.0962,0.5639,0.13574,1.399,0.036534,0
1.0961,0.564,0.13594,1.399,0.036752,0
1.0959,0.56409,0.13611,1.399,0.03697,0
1.0958,0.56417,0.13628,1.399,0.037188,0
1.0956,0.56425,0.13645,1.399,0.037406,0
1.0955,0.56434,0.13661,1.399,0.037624,0
1.0953,0.56442,0.13678,1.399,0.037842,0
1.0951,0.56451,0.13695,1.399,0.03806,0
1.095,0.56459,0.13712,1.399,0.038278,0
1.0948,0.56468,0.13729,1.399,0.038496,0
1.0947,0.56476,0.13746,1.399,0.038714,0
1.0945,0.56485,0.13763,1.399,0.038932,0
1.0944,0.56493,0.1378,1.399,0.03915,0
1.0942,0.56502,0.13797,1.399,0.039368,0
1.0941,0.5651,0.13814,1.399,0.039586,0
1.0939,0.56519,0.13831,1.399,0.039804,0
1.0937,0.56527,0.13848,1.399,0.040022,0
1.0936,0.56535,0.13865,1.399,0.04024,0
1.0934,0.56544,0.13881,1.399,0.040458,0
1.0932,0.56551,0.13895,1.399,0.040676,0
1.0931,0.56557,0.13908,1.399,0.040894,0
1.0929,0.56564,0.13922,1.399,0.041112,0
1.0927,0.56571,0.13936,1.399,0.04133,0
1.0925,0.56578,0.1395,1.399,0.041548,0
1.0924,0.56585,0.13963,1.399,0.041766,0
1.0922,0.56592,0.13977,1.399,0.041984,0
1.092,0.56599,0.13991,1.399,0.042202,0
1.0918,0.56605,0.14004,1.399,0.04242,0
1.0916,0.56612,0.14018,1.399,0.042638,0
1.0915,0.56619,0.14032,1.399,0.042856,0
1.0913,0.56626,0.14046,1.399,0.043074,0
1.0911,0.56633,0.14059,1.399,0.043292,0
1.0909,0.5664,0.14073,1.399,0.04351,0
1.0907,0.56647,0.14087,1.399,0.043728,0
1.0906,0.56653,0.141,1.399,0.043946,0
1.0904,0.5666,0.14114,1.399,0.044164,0
1.0902,0.56667,0.14128,1.399,0.044382,0
1.09,0.56673,0.14139,1.399,0.0446,0
1.0899,0.56677,0.14148,1.399,0.044818,0
1.0898,0.56681,0.14156,1.399,0.045036,0
1.0896,0.56686,0.14165,1.399,0.045254,0
1.0895,0.5669,0.14174,1.399,0.045472,0
1.0893,0.56695,0.14183,1.399,0.04569,0
1.0892,0.56699,0.14192,1.399,0.045908,0
1.0891,0.56703,0.14201,1.399,0.046126,0
1.0889,0.56708,0.14209,1.399,0.046344,0
1.0888,0.56712,0.14218,1.399,0.046562,0
1.0886,0.56717,0.14227,1.399,0.04678,0
