"Mach,""Pressure"",""Points:0"",""Points:1"",""Points:2"""
1.0937,0.56368,1.4,0.0638,0
1.0937,0.56367,1.4,0.06402,0
1.0937,0.56367,1.4,0.06424,0
1.0937,0.56367,1.4,0.06446,0
1.0937,0.56367,1.4,0.06468,0
1.0937,0.56366,1.4,0.0649,0
1.0937,0.56366,1.4,0.06512,0
1.0937,0.56366,1.4,0.06534,0
1.0937,0.56365,1.4,0.06556,0
1.0937,0.56365,1.4,0.06578,0
1.0937,0.56365,1.4,0.066,0
1.0937,0.56365,1.4,0.06622,0
1.0937,0.56364,1.4,0.06644,0
1.0937,0.56363,1.4,0.06666,0
1.0937,0.56363,1.4,0.06688,0
1.0937,0.56362,1.4,0.0671,0
1.0937,0.56361,1.4,0.06732,0
1.0937,0.5636,1.4,0.06754,0
1.0937,0.5636,1.4,0.06776,0
1.0937,0.56359,1.4,0.06798,0
1.0937,0.56358,1.4,0.0682,0
1.0937,0.56358,1.4,0.06842,0
1.0937,0.56357,1.4,0.06864,0
1.0937,0.56356,1.4,0.06886,0
1.0938,0.56355,1.4,0.06908,0
1.0938,0.56354,1.4,0.0693,0
1.0938,0.56352,1.4,0.06952,0
1.0938,0.56351,1.4,0.06974,0
1.0938,0.5635,1.4,0.06996,0
1.0938,0.56349,1.4,0.07018,0
1.0938,0.56348,1.4,0.0704,0
1.0939,0.56347,1.4,0.07062,0
1.0939,0.56345,1.4,0.07084,0
1.0939,0.56344,1.4,0.07106,0
1.0939,0.56343,1.4,0.07128,0
1.0939,0.56341,1.4,0.0715,0
1.0939,0.5634,1.4,0.07172,0
1.094,0.56338,1.4,0.07194,0
1.094,0.56337,1.4,0.07216,0
1.094,0.56335,1.4,0.07238,0
1.094,0.56334,1.4,0.0726,0
1.094,0.56332,1.4,0.07282,0
1.094,0.56331,1.4,0.07304,0
1.0941,0.56329,1.4,0.07326,0
1.0941,0.56327,1.4,0.07348,0
1.0941,0.56326,1.4,0.0737,0
1.0941,0.56324,1.4,0.07392,0
1.0941,0.56322,1.4,0.07414,0
1.0942,0.5632,1.4,0.07436,0
1.0942,0.56318,1.4,0.07458,0
1.0942,0.56316,1.4,0.0748,0
1.0942,0.56315,1.4,0.07502,0
1.0942,0.56313,1.4,0.07524,0
1.0943,0.56311,1.4,0.07546,0
1.0943,0.56309,1.4,0.07568,0
1.0943,0.56307,1.4,0.0759,0
1.0943,0.56305,1.4,0.07612,0
1.0943,0.56303,1.4,0.07634,0
1.0944,0.56301,1.4,0.07656,0
1.0944,0.56299,1.4,0.07678,0
1.0944,0.56297,1.4,0.077,0
1.0944,0.56296,1.4,0.07722,0
1.0944,0.56294,1.4,0.07744,0
1.0945,0.56292,1.4,0.07766,0
1.0945,0.5629,1.4,0.07788,0
1.0945,0.56288,1.4,0.0781,0
1.0945,0.56286,1.4,0.07832,0
1.0945,0.56284,1.4,0.07854,0
1.0946,0.56282,1.4,0.07876,0
1.0946,0.5628,1.4,0.07898,0
1.0946,0.56278,1.4,0.0792,0
1.0946,0.56277,1.4,0.07942,0
1.0947,0.56275,1.4,0.07964,0
1.0947,0.56273,1.4,0.07986,0
1.0947,0.56271,1.4,0.08008,0
1.0947,0.56269,1.4,0.0803,0
1.0947,0.56267,1.4,0.08052,0
1.0948,0.56265,1.4,0.08074,0
1.0948,0.56263,1.4,0.08096,0
1.0948,0.56261,1.4,0.08118,0
1.0948,0.56259,1.4,0.0814,0
1.0949,0.56257,1.4,0.08162,0
1.0949,0.56255,1.4,0.08184,0
1.0949,0.56253,1.4,0.08206,0
1.0949,0.56251,1.4,0.08228,0
1.0949,0.56249,1.4,0.0825,0
1.095,0.56248,1.4,0.08272,0
1.095,0.56246,1.4,0.08294,0
1.095,0.56244,1.4,0.08316,0
1.095,0.56242,1.4,0.08338,0
1.0951,0.5624,1.4,0.0836,0
1.0951,0.56238,1.4,0.08382,0
1.0951,0.56235,1.4,0.08404,0
1.0951,0.56233,1.4,0.08426,0
1.0951,0.56231,1.4,0.08448,0
1.0952,0.56229,1.4,0.0847,0
1.0952,0.56226,1.4,0.08492,0
1.0952,0.56224,1.4,0.08514,0
1.0952,0.56222,1.4,0.08536,0
1.0953,0.5622,1.4,0.08558,0
1.0953,0.56218,1.4,0.0858,0
1.0953,0.56215,1.4,0.08602,0
1.0953,0.56213,1.4,0.08624,0
1.0954,0.56211,1.4,0.08646,0
1.0954,0.56209,1.4,0.08668,0
1.0954,0.56207,1.4,0.0869,0
1.0954,0.56205,1.4,0.08712,0
1.0955,0.56203,1.4,0.08734,0
1.0955,0.56201,1.4,0.08756,0
1.0955,0.56199,1.4,0.08778,0
1.0955,0.56196,1.4,0.088,0
1.0956,0.56194,1.4,0.08822,0
1.0956,0.56192,1.4,0.08844,0
1.0956,0.5619,1.4,0.08866,0
1.0956,0.56188,1.4,0.08888,0
1.0956,0.56186,1.4,0.0891,0
1.0957,0.56184,1.4,0.08932,0
1.0957,0.56182,1.4,0.08954,0
1.0957,0.5618,1.4,0.08976,0
1.0957,0.56178,1.4,0.08998,0
1.0958,0.56176,1.4,0.0902,0
1.0958,0.56174,1.4,0.09042,0
1.0958,0.56172,1.4,0.09064,0
1.0958,0.5617,1.4,0.09086,0
1.0959,0.56168,1.4,0.09108,0
1.0959,0.56166,1.4,0.0913,0
1.0959,0.56164,1.4,0.09152,0
1.0959,0.56162,1.4,0.09174,0
1.096,0.5616,1.4,0.09196,0
1.096,0.56158,1.4,0.09218,0
1.096,0.56156,1.4,0.0924,0
1.096,0.56154,1.4,0.09262,0
1.096,0.56152,1.4,0.09284,0
1.0961,0.5615,1.4,0.09306,0
1.0961,0.56148,1.4,0.09328,0
1.0961,0.56146,1.4,0.0935,0
1.0961,0.56144,1.4,0.09372,0
1.0962,0.56142,1.4,0.09394,0
1.0962,0.56141,1.4,0.09416,0
1.0962,0.56139,1.4,0.09438,0
1.0962,0.56137,1.4,0.0946,0
1.0962,0.56135,1.4,0.09482,0
1.0963,0.56133,1.4,0.09504,0
1.0963,0.56131,1.4,0.09526,0
1.0963,0.56129,1.4,0.09548,0
1.0963,0.56127,1.4,0.0957,0
1.0964,0.56125,1.4,0.09592,0
1.0964,0.56123,1.4,0.09614,0
1.0964,0.56121,1.4,0.09636,0
1.0964,0.56119,1.4,0.09658,0
1.0965,0.56117,1.4,0.0968,0
1.0965,0.56115,1.4,0.09702,0
1.0965,0.56113,1.4,0.09724,0
1.0965,0.56111,1.4,0.09746,0
1.0965,0.56109,1.4,0.09768,0
1.0966,0.56108,1.4,0.0979,0
1.0966,0.56106,1.4,0.09812,0
1.0966,0.56104,1.4,0.09834,0
1.0966,0.56102,1.4,0.09856,0
1.0967,0.561,1.4,0.09878,0
1.0967,0.56098,1.4,0.099,0
1.0967,0.56096,1.4,0.09922,0
1.0967,0.56094,1.4,0.09944,0
1.0967,0.56092,1.4,0.09966,0
1.0968,0.5609,1.4,0.09988,0
1.0968,0.56088,1.4,0.1001,0
1.0968,0.56087,1.4,0.10032,0
1.0968,0.56085,1.4,0.10054,0
1.0969,0.56083,1.4,0.10076,0
1.0969,0.56081,1.4,0.10098,0
1.0969,0.56079,1.4,0.1012,0
1.0969,0.56077,1.4,0.10142,0
1.0969,0.56076,1.4,0.10164,0
1.097,0.56074,1.4,0.10186,0
1.097,0.56072,1.4,0.10208,0
1.097,0.5607,1.4,0.1023,0
1.097,0.56068,1.4,0.10252,0
1.097,0.56067,1.4,0.10274,0
1.0971,0.56065,1.4,0.10296,0
1.0971,0.56063,1.4,0.10318,0
1.0971,0.56061,1.4,0.1034,0
1.0971,0.56059,1.4,0.10362,0
1.0971,0.56058,1.4,0.10384,0
1.0972,0.56056,1.4,0.10406,0
1.0972,0.56054,1.4,0.10428,0
1.0972,0.56052,1.4,0.1045,0
1.0972,0.56051,1.4,0.10472,0
1.0972,0.56049,1.4,0.10494,0
1.0973,0.56047,1.4,0.10516,0
1.0973,0.56045,1.4,0.10538,0
1.0973,0.56044,1.4,0.1056,0
1.0973,0.56042,1.4,0.10582,0
1.0973,0.5604,1.4,0.10604,0
1.0974,0.56038,1.4,0.10626,0
1.0974,0.56037,1.4,0.10648,0
1.0974,0.56035,1.4,0.1067,0
1.0974,0.56033,1.4,0.10692,0
1.0974,0.56032,1.4,0.10714,0
1.0974,0.5603,1.4,0.10736,0
1.0975,0.56028,1.4,0.10758,0
1.0975,0.56027,1.4,0.1078,0
1.0975,0.56025,1.4,0.10802,0
1.0975,0.56023,1.4,0.10824,0
1.0975,0.56022,1.4,0.10846,0
1.0975,0.5602,1.4,0.10868,0
1.0976,0.56019,1.4,0.1089,0
1.0976,0.56017,1.4,0.10912,0
1.0976,0.56016,1.4,0.10934,0
1.0976,0.56014,1.4,0.10956,0
1.0976,0.56013,1.4,0.10978,0
1.0976,0.56011,1.4,0.11,0
1.0977,0.5601,1.4,0.11022,0
1.0977,0.56008,1.4,0.11044,0
1.0977,0.56007,1.4,0.11066,0
1.0977,0.56005,1.4,0.11088,0
1.0977,0.56004,1.4,0.1111,0
1.0977,0.56002,1.4,0.11132,0
1.0977,0.56001,1.4,0.11154,0
1.0978,0.55999,1.4,0.11176,0
1.0978,0.55997,1.4,0.11198,0
1.0978,0.55996,1.4,0.1122,0
1.0978,0.55994,1.4,0.11242,0
1.0978,0.55992,1.4,0.11264,0
1.0978,0.55991,1.4,0.11286,0
1.0979,0.55989,1.4,0.11308,0
1.0979,0.55987,1.4,0.1133,0
1.0979,0.55986,1.4,0.11352,0
1.0979,0.55984,1.4,0.11374,0
1.0979,0.55983,1.4,0.11396,0
1.0979,0.55981,1.4,0.11418,0
1.0979,0.5598,1.4,0.1144,0
1.098,0.55978,1.4,0.11462,0
1.098,0.55976,1.4,0.11484,0
1.098,0.55975,1.4,0.11506,0
1.098,0.55973,1.4,0.11528,0
1.098,0.55972,1.4,0.1155,0
1.098,0.5597,1.4,0.11572,0
1.098,0.55969,1.4,0.11594,0
1.0981,0.55967,1.4,0.11616,0
1.0981,0.55966,1.4,0.11638,0
