"Pressure","Points:0","Points:1","Points:2"
0.49614,-4.2,1.4861,0
0.49614,-4.2,1.4904,0
0.49614,-4.2,1.4947,0
0.49614,-4.2,1.499,0
0.49614,-4.2,1.5033,0
0.49614,-4.2,1.5076,0
0.49614,-4.2,1.5119,0
0.49614,-4.2,1.5162,0
0.49614,-4.2,1.5205,0
0.49614,-4.2,1.5248,0
0.49614,-4.2,1.5292,0
0.49614,-4.2,1.5335,0
0.49614,-4.2,1.5378,0
0.49614,-4.2,1.5421,0
0.49614,-4.2,1.5464,0
0.49614,-4.2,1.5507,0
0.49614,-4.2,1.555,0
0.49614,-4.2,1.5593,0
0.49614,-4.2,1.5636,0
0.49614,-4.2,1.5679,0
0.49614,-4.2,1.5722,0
0.49614,-4.2,1.5765,0
0.49614,-4.2,1.5808,0
0.49614,-4.2,1.5852,0
0.49614,-4.2,1.5895,0
0.49614,-4.2,1.5938,0
0.49614,-4.2,1.5981,0
0.49614,-4.2,1.6024,0
0.49614,-4.2,1.6067,0
0.49614,-4.2,1.611,0
0.49614,-4.2,1.6153,0
0.49614,-4.2,1.6196,0
0.49614,-4.2,1.6239,0
0.49614,-4.2,1.6282,0
0.49614,-4.2,1.6325,0
0.49614,-4.2,1.6368,0
0.49614,-4.2,1.6412,0
0.49614,-4.2,1.6455,0
0.49614,-4.2,1.6498,0
0.49614,-4.2,1.6541,0
0.49614,-4.2,1.6584,0
0.49614,-4.2,1.6627,0
0.49614,-4.2,1.667,0
0.49614,-4.2,1.6713,0
0.49614,-4.2,1.6756,0
0.49614,-4.2,1.6799,0
0.49614,-4.2,1.6842,0
0.49614,-4.2,1.6885,0
0.49614,-4.2,1.6928,0
0.49614,-4.2,1.6971,0
0.49614,-4.2,1.7015,0
0.49614,-4.2,1.7058,0
0.49614,-4.2,1.7101,0
0.49614,-4.2,1.7144,0
0.49614,-4.2,1.7187,0
0.49614,-4.2,1.723,0
0.49614,-4.2,1.7273,0
0.49614,-4.2,1.7316,0
0.49614,-4.2,1.7359,0
0.49614,-4.2,1.7402,0
0.49614,-4.2,1.7445,0
0.49614,-4.2,1.7488,0
0.49614,-4.2,1.7531,0
0.49614,-4.2,1.7575,0
0.49614,-4.2,1.7618,0
0.49614,-4.2,1.7661,0
0.49614,-4.2,1.7704,0
0.49614,-4.2,1.7747,0
0.49614,-4.2,1.779,0
0.49614,-4.2,1.7833,0
